nombre,descripcion,precio,descuento,stock,imagenes,soft_delete,category,marca
"HyperX Micrófonos 364","HyperX Micrófonos 364 — Producto de la línea Micrófonos. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",876089,0,171,"https://source.unsplash.com/800x600/?microphone;https://source.unsplash.com/800x600/?microphone,tech;https://source.unsplash.com/800x600/?microphone,product",false,15,"HyperX"
"Sony Cartuchos 131","Sony Cartuchos 131 — Producto de la línea Cartuchos / Tóner. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",954204,0,145,"https://source.unsplash.com/800x600/?printer%20toner;https://source.unsplash.com/800x600/?printer%20toner,tech;https://source.unsplash.com/800x600/?printer%20toner,product",false,19,"Sony"
"Xiaomi Discos 484","Xiaomi Discos 484 — Producto de la línea Discos HDD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",558318,0,11,"https://source.unsplash.com/800x600/?hdd%20hard%20drive;https://source.unsplash.com/800x600/?hdd%20hard%20drive,tech;https://source.unsplash.com/800x600/?hdd%20hard%20drive,product",false,8,"Xiaomi"
"Acer Gamer 127","Acer Gamer 127 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1158503,10,46,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Acer"
"Brother Model V4","Brother Model V4 — Producto de la línea Smart TVs. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",826924,11,122,"https://source.unsplash.com/800x600/?smart%20tv;https://source.unsplash.com/800x600/?smart%20tv,tech;https://source.unsplash.com/800x600/?smart%20tv,product",false,27,"Brother"
"Beyerdynamic Webcams 421","Beyerdynamic Webcams 421 — Producto de la línea Webcams. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",318519,0,27,"https://source.unsplash.com/800x600/?webcam;https://source.unsplash.com/800x600/?webcam,tech;https://source.unsplash.com/800x600/?webcam,product",false,16,"Beyerdynamic"
"Anker Adaptadores 385","Anker Adaptadores 385 — Producto de la línea Adaptadores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",533602,0,109,"https://source.unsplash.com/800x600/?adapter;https://source.unsplash.com/800x600/?adapter,tech;https://source.unsplash.com/800x600/?adapter,product",false,33,"Anker"
"Samsung Joysticks 130","Samsung Joysticks 130 — Producto de la línea Joysticks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1097779,15,45,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,21,"Samsung"
"HP Sillas 262","HP Sillas 262 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",463402,0,109,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"HP"
"Intel Micrófonos 377","Intel Micrófonos 377 — Producto de la línea Micrófonos. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",720283,0,116,"https://source.unsplash.com/800x600/?microphone;https://source.unsplash.com/800x600/?microphone,tech;https://source.unsplash.com/800x600/?microphone,product",false,15,"Intel"
"Nvidia Ultra 703","Nvidia Ultra 703 — Producto de la línea Notebooks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1125365,14,73,"https://source.unsplash.com/800x600/?laptop;https://source.unsplash.com/800x600/?laptop,tech;https://source.unsplash.com/800x600/?laptop,product",false,1,"Nvidia"
"Dell Consolas 108","Dell Consolas 108 — Producto de la línea Consolas. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",296741,0,166,"https://source.unsplash.com/800x600/?game%20console;https://source.unsplash.com/800x600/?game%20console,tech;https://source.unsplash.com/800x600/?game%20console,product",false,20,"Dell"
"LG G Pro","LG G Pro — Producto de la línea Mouse. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",72143,0,195,"https://source.unsplash.com/800x600/?mouse;https://source.unsplash.com/800x600/?mouse,tech;https://source.unsplash.com/800x600/?mouse,product",false,13,"LG"
"Samsung Consolas 498","Samsung Consolas 498 — Producto de la línea Consolas. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",373756,0,85,"https://source.unsplash.com/800x600/?game%20console;https://source.unsplash.com/800x600/?game%20console,tech;https://source.unsplash.com/800x600/?game%20console,product",false,20,"Samsung"
"Epson Sillas 774","Epson Sillas 774 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",350140,0,46,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"Epson"
